Date,Open,High,Low,Close,Adj Close,Volume
1982-08-02,54.950001,54.950001,54.950001,54.950001,54.950001,106920000
1982-08-03,54.580002,54.580002,54.580002,54.580002,54.580002,120960000
1982-08-04,53.560001,53.560001,53.560001,53.560001,53.560001,106880000
1982-08-05,53.029999,53.029999,53.029999,53.029999,53.029999,109400000
1982-08-06,52.270000,52.270000,52.270000,52.270000,52.270000,97320000
1982-08-09,52.090000,52.090000,52.090000,52.090000,52.090000,109120000
1982-08-10,51.900002,51.900002,51.900002,51.900002,51.900002,105360000
1982-08-11,51.740002,51.740002,51.740002,51.740002,51.740002,98080000
1982-08-12,51.660000,51.660000,51.660000,51.660000,51.660000,100160000
1982-08-13,52.459999,52.459999,52.459999,52.459999,52.459999,89440000
1982-08-16,52.340000,52.340000,52.340000,52.340000,52.340000,110840000
1982-08-17,55.290001,55.290001,55.290001,55.290001,55.290001,185720000
1982-08-18,56.139999,56.139999,56.139999,56.139999,56.139999,265380000
1982-08-19,55.160000,55.160000,55.160000,55.160000,55.160000,156540000
1982-08-20,57.230000,57.230000,57.230000,57.230000,57.230000,191780000
1982-08-23,59.029999,59.029999,59.029999,59.029999,59.029999,220620000
1982-08-24,58.740002,58.740002,58.740002,58.740002,58.740002,243300000
1982-08-25,59.340000,59.340000,59.340000,59.340000,59.340000,212400000
1982-08-26,59.599998,59.599998,59.599998,59.599998,59.599998,274660000
1982-08-27,58.860001,58.860001,58.860001,58.860001,58.860001,148820000
1982-08-30,59.380001,59.380001,59.380001,59.380001,59.380001,119120000
1982-08-31,60.430000,60.430000,60.430000,60.430000,60.430000,172720000
1982-09-01,59.540001,59.540001,59.540001,59.540001,59.540001,165660000
1982-09-02,60.700001,60.700001,60.700001,60.700001,60.700001,149480000
1982-09-03,61.950001,61.950001,61.950001,61.950001,61.950001,261820000
1982-09-07,61.279999,61.279999,61.279999,61.279999,61.279999,137920000
1982-09-08,61.689999,61.689999,61.689999,61.689999,61.689999,155920000
1982-09-09,61.330002,61.330002,61.330002,61.330002,61.330002,146180000
1982-09-10,60.830002,60.830002,60.830002,60.830002,60.830002,142160000
1982-09-13,61.770000,61.770000,61.770000,61.770000,61.770000,119040000
1982-09-14,62.139999,62.139999,62.139999,62.139999,62.139999,166140000
1982-09-15,62.599998,62.599998,62.599998,62.599998,62.599998,139360000
1982-09-16,62.200001,62.200001,62.200001,62.200001,62.200001,157800000
1982-09-17,61.560001,61.560001,61.560001,61.560001,61.560001,127900000
1982-09-20,61.700001,61.700001,61.700001,61.700001,61.700001,117040000
1982-09-21,62.830002,62.830002,62.830002,62.830002,62.830002,165840000
1982-09-22,62.250000,62.250000,62.250000,62.250000,62.250000,226300000
1982-09-23,62.259998,62.259998,62.259998,62.259998,62.259998,136520000
1982-09-24,61.980000,61.980000,61.980000,61.980000,61.980000,109200000
1982-09-27,62.200001,62.200001,62.200001,62.200001,62.200001,89680000
1982-09-28,61.840000,61.840000,61.840000,61.840000,61.840000,131800000
1982-09-29,60.950001,60.950001,60.950001,60.950001,60.950001,125100000
1982-09-30,60.160000,60.160000,60.160000,60.160000,60.160000,125220000
1982-10-01,61.139999,61.139999,61.139999,61.139999,61.139999,130000000
1982-10-04,60.790001,60.790001,60.790001,60.790001,60.790001,111300000
1982-10-05,60.959999,60.959999,60.959999,60.959999,60.959999,139540000
1982-10-06,63.349998,63.349998,63.349998,63.349998,63.349998,187140000
1982-10-07,64.720001,64.720001,64.720001,64.720001,64.720001,294140000
1982-10-08,65.900002,65.900002,65.900002,65.900002,65.900002,244500000
1982-10-11,67.900002,67.900002,67.900002,67.900002,67.900002,277060000
1982-10-12,67.760002,67.760002,67.760002,67.760002,67.760002,252620000
1982-10-13,68.580002,68.580002,68.580002,68.580002,68.580002,279600000
1982-10-14,67.110001,67.110001,67.110001,67.110001,67.110001,215060000
1982-10-15,66.570000,66.570000,66.570000,66.570000,66.570000,160580000
1982-10-18,68.610001,68.610001,68.610001,68.610001,68.610001,167580000
1982-10-19,68.370003,68.370003,68.370003,68.370003,68.370003,201700000
1982-10-20,70.000000,70.000000,70.000000,70.000000,70.000000,197360000
1982-10-21,69.760002,69.760002,69.760002,69.760002,69.760002,244920000
1982-10-22,69.684998,69.684998,69.684998,69.684998,69.684998,202240000
1982-10-25,66.735001,66.735001,66.735001,66.735001,66.735001,167440000
1982-10-26,67.794998,67.794998,67.794998,67.794998,67.794998,204160000
1982-10-27,68.065002,68.065002,68.065002,68.065002,68.065002,163340000
1982-10-28,67.214996,67.214996,67.214996,67.214996,67.214996,147180000
1982-10-29,67.434998,67.434998,67.434998,67.434998,67.434998,149660000
1982-11-01,68.485001,68.485001,68.485001,68.485001,68.485001,147060000
1982-11-02,69.290001,69.290001,69.290001,69.290001,69.290001,209540000
1982-11-03,72.385002,72.385002,72.385002,72.385002,72.385002,274020000
1982-11-04,71.680000,71.680000,71.680000,71.680000,71.680000,298700000
1982-11-05,71.785004,71.785004,71.785004,71.785004,71.785004,193100000
1982-11-08,70.775002,70.775002,70.775002,70.775002,70.775002,150480000
1982-11-09,72.339996,72.339996,72.339996,72.339996,72.339996,222440000
1982-11-10,71.214996,71.214996,71.214996,71.214996,71.214996,226480000
1982-11-11,71.730003,71.730003,71.730003,71.730003,71.730003,156820000
1982-11-12,70.514999,70.514999,70.514999,70.514999,70.514999,190160000
1982-11-15,69.120003,69.120003,69.120003,69.120003,69.120003,157800000
1982-11-16,68.364998,68.364998,68.364998,68.364998,68.364998,205820000
1982-11-17,69.669998,69.669998,69.669998,69.669998,69.669998,168880000
1982-11-18,69.769997,69.769997,69.769997,69.769997,69.769997,155240000
1982-11-19,68.959999,68.959999,68.959999,68.959999,68.959999,140620000
1982-11-22,67.540001,67.540001,67.540001,67.540001,67.540001,149920000
1982-11-23,66.995003,66.995003,66.995003,66.995003,66.995003,145840000
1982-11-24,67.654999,67.654999,67.654999,67.654999,67.654999,134440000
1982-11-26,68.180000,68.180000,68.180000,68.180000,68.180000,77620000
1982-11-29,67.739998,67.739998,67.739998,67.739998,67.739998,122160000
1982-11-30,70.169998,70.169998,70.169998,70.169998,70.169998,186940000
1982-12-01,70.154999,70.154999,70.154999,70.154999,70.154999,215700000
1982-12-02,70.165001,70.165001,70.165001,70.165001,70.165001,155200000
1982-12-03,70.089996,70.089996,70.089996,70.089996,70.089996,143080000
1982-12-06,72.175003,72.175003,72.175003,72.175003,72.175003,167760000
1982-12-07,72.785004,72.785004,72.785004,72.785004,72.785004,223240000
1982-12-08,72.150002,72.150002,72.150002,72.150002,72.150002,194860000
1982-12-09,71.004997,71.004997,71.004997,71.004997,71.004997,180640000
1982-12-10,70.680000,70.680000,70.680000,70.680000,70.680000,172860000
1982-12-13,71.084999,71.084999,71.084999,71.084999,71.084999,126280000
1982-12-14,69.529999,69.529999,69.529999,69.529999,69.529999,196760000
1982-12-15,68.419998,68.419998,68.419998,68.419998,68.419998,162060000
1982-12-16,68.504997,68.504997,68.504997,68.504997,68.504997,147360000
1982-12-17,69.695000,69.695000,69.695000,69.695000,69.695000,152020000
1982-12-20,68.845001,68.845001,68.845001,68.845001,68.845001,124420000
1982-12-21,70.474998,70.474998,70.474998,70.474998,70.474998,156020000
1982-12-22,70.230003,70.230003,70.230003,70.230003,70.230003,166940000
1982-12-23,70.654999,70.654999,70.654999,70.654999,70.654999,125760000
1982-12-27,72.180000,72.180000,72.180000,72.180000,72.180000,129380000
1982-12-28,71.345001,71.345001,71.345001,71.345001,71.345001,117220000
1982-12-29,71.654999,71.654999,71.654999,71.654999,71.654999,109620000
1982-12-30,71.070000,71.070000,71.070000,71.070000,71.070000,112760000
1982-12-31,71.084999,71.084999,71.084999,71.084999,71.084999,84220000
1983-01-03,69.779999,69.779999,69.779999,69.779999,69.779999,118160000
1983-01-04,71.620003,71.620003,71.620003,71.620003,71.620003,151060000
1983-01-05,72.010002,72.010002,72.010002,72.010002,72.010002,190780000
1983-01-06,73.470001,73.470001,73.470001,73.470001,73.470001,258820000
1983-01-07,73.459999,73.459999,73.459999,73.459999,73.459999,254580000
1983-01-10,74.290001,74.290001,74.290001,74.290001,74.290001,203780000
1983-01-11,73.779999,73.779999,73.779999,73.779999,73.779999,196500000
1983-01-12,74.330002,74.330002,74.330002,74.330002,74.330002,219700000
1983-01-13,73.970001,73.970001,73.970001,73.970001,73.970001,154060000
1983-01-14,74.665001,74.665001,74.665001,74.665001,74.665001,172960000
1983-01-17,74.820000,74.820000,74.820000,74.820000,74.820000,178420000
1983-01-18,74.870003,74.870003,74.870003,74.870003,74.870003,156760000
1983-01-19,74.105003,74.105003,74.105003,74.105003,74.105003,161800000
1983-01-20,74.574997,74.574997,74.574997,74.574997,74.574997,165580000
1983-01-21,73.184998,73.184998,73.184998,73.184998,73.184998,154220000
1983-01-24,71.309998,71.309998,71.309998,71.309998,71.309998,181600000
1983-01-25,72.495003,72.495003,72.495003,72.495003,72.495003,159480000
1983-01-26,72.269997,72.269997,72.269997,72.269997,72.269997,147440000
1983-01-27,73.794998,73.794998,73.794998,73.794998,73.794998,176240000
